Time,POT_NTR,acc_14hr,Matched_Tide_Time,Matched_Tide_Value,Lag_Time,Lag_Time_Hours
1951-04-07 18:00:00,0.416459722,16.550966404888023,1951-04-08 17:00:00,0.172,0 days 23:00:00,23.0
1952-04-13 08:00:00,0.437615278,36.32739312564238,1952-04-13 18:00:00,0.246,0 days 10:00:00,10.0
1957-04-01 08:00:00,0.704725,45.17868828437627,1957-04-01 17:00:00,0.089,0 days 09:00:00,9.0
1957-04-05 10:00:00,0.368452778,85.08947563153943,1957-04-05 20:00:00,0.187,0 days 10:00:00,10.0
1960-04-03 13:00:00,0.422630556,29.52931278125789,1960-04-03 21:00:00,0.122,0 days 08:00:00,8.0
1961-04-12 12:00:00,0.485269444,50.07486191044624,1961-04-13 04:00:00,0.051,0 days 16:00:00,16.0
1980-04-13 23:00:00,0.412293056,101.26694453953928,1980-04-14 17:00:00,0.043,0 days 18:00:00,18.0
1993-04-15 13:00:00,0.446869444,16.862639775966226,1993-04-16 00:00:00,0.079,0 days 11:00:00,11.0
2014-04-30 10:00:00,0.492301389,181.68797607105472,2014-04-30 17:00:00,0.213,0 days 07:00:00,7.0
2019-04-14 14:00:00,0.358930556,26.82840211859099,2019-04-15 01:00:00,0.178,0 days 11:00:00,11.0
2023-04-13 11:00:00,0.464259722,44.37934108648064,2023-04-13 23:00:00,0.251,0 days 12:00:00,12.0
2024-04-10 23:00:00,0.471419444,38.59641546537654,2024-04-11 18:00:00,0.242,0 days 19:00:00,19.0
