Time,POT_NTR,acc_14hr,Matched_Tide_Time,Matched_Tide_Value,Lag_Time,Lag_Time_Hours
1950-02-14 08:00:00,0.541993056,4.1027046409373575,1950-02-15 03:00:00,0.14,0 days 19:00:00,19.0
1952-02-03 03:00:00,0.497551389,4.166849701873439,1952-02-03 23:00:00,0.058,0 days 20:00:00,20.0
1952-02-15 10:00:00,0.445436111,40.29267462838248,1952-02-15 20:00:00,-0.038,0 days 10:00:00,10.0
1953-02-15 01:00:00,0.488231944,39.41792778971303,1953-02-15 06:00:00,0.017,0 days 05:00:00,5.0
1954-02-20 14:00:00,0.366568056,16.11773980625487,1954-02-20 19:00:00,-0.08,0 days 05:00:00,5.0
1954-02-28 12:00:00,0.424830556,0.687850432335645,1954-03-01 01:00:00,0.13,0 days 13:00:00,13.0
1955-02-06 11:00:00,0.707983333,46.73521898280698,1955-02-07 05:00:00,0.062,0 days 18:00:00,18.0
1955-02-22 06:00:00,0.349556944,10.186670996232197,1955-02-23 06:00:00,-0.016,1 days 00:00:00,24.0
1956-02-25 10:00:00,0.371155556,0.6896694406015946,1956-02-26 05:00:00,0.008,0 days 19:00:00,19.0
1957-02-19 06:00:00,0.402841667,10.090106957286652,1957-02-19 21:00:00,0.014,0 days 15:00:00,15.0
1957-02-25 08:00:00,0.434176389,4.896653028271278,1957-02-26 03:00:00,0.05,0 days 19:00:00,19.0
1958-02-15 08:00:00,0.565895833,14.71935278223462,1958-02-16 03:00:00,0.059,0 days 19:00:00,19.0
1958-02-27 10:00:00,0.476911111,14.250882766071417,1958-02-28 00:00:00,0.07,0 days 14:00:00,14.0
1960-02-04 07:00:00,0.540594444,30.01317370168848,1960-02-04 23:00:00,-0.025,0 days 16:00:00,16.0
1960-02-10 21:00:00,0.578844444,11.23462809157729,1960-02-11 04:00:00,0.05,0 days 07:00:00,7.0
1961-02-07 09:00:00,0.5794,16.267323012560496,1961-02-07 22:00:00,-0.05,0 days 13:00:00,13.0
1963-02-11 17:00:00,0.419729167,16.955706945865685,1963-02-12 07:00:00,-0.061,0 days 14:00:00,14.0
1963-02-19 07:00:00,0.6178,22.037288814687404,1963-02-20 01:00:00,0.088,0 days 18:00:00,18.0
1964-02-05 18:00:00,0.514436111,4.155082275785404,1964-02-05 23:00:00,-0.014,0 days 05:00:00,5.0
1964-02-18 08:00:00,0.468511111,10.673851734201932,1964-02-18 21:00:00,-0.044,0 days 13:00:00,13.0
1965-02-07 05:00:00,0.4021375,27.801121705892324,1965-02-07 22:00:00,-0.07,0 days 17:00:00,17.0
1965-02-24 21:00:00,0.420998611,6.449557296335576,1965-02-25 00:00:00,0.07,0 days 03:00:00,3.0
1966-02-01 20:00:00,0.414784722,7.736765950499378,1966-02-02 01:00:00,0.12,0 days 05:00:00,5.0
1966-02-10 17:00:00,0.606551389,23.39012733820189,1966-02-10 21:00:00,-0.053,0 days 04:00:00,4.0
1966-02-28 11:00:00,0.493254167,33.582317910059984,1966-02-28 23:00:00,0.105,0 days 12:00:00,12.0
1967-02-06 23:00:00,0.434198611,51.33540458881794,1967-02-07 03:00:00,0.128,0 days 04:00:00,4.0
1968-02-02 10:00:00,0.371851389,3.619804594283214,1968-02-04 21:00:00,-0.049,2 days 11:00:00,59.0
1968-02-29 06:00:00,0.407361111,16.921120635456877,1968-03-01 07:00:00,-0.061,1 days 01:00:00,25.0
1969-02-15 16:00:00,0.613105556,25.322276396556163,1969-02-16 04:00:00,0.141,0 days 12:00:00,12.0
1970-02-02 04:00:00,0.714915278,24.20219092207497,1970-02-03 02:00:00,0.163,0 days 22:00:00,22.0
1971-02-05 04:00:00,0.484051389,14.826219812837955,1971-02-06 02:00:00,0.113,0 days 22:00:00,22.0
1971-02-08 12:00:00,0.402870833,19.892996205075093,1971-02-09 04:00:00,0.086,0 days 16:00:00,16.0
1971-02-22 12:00:00,0.406643056,33.076968036129486,1971-02-23 03:00:00,0.164,0 days 15:00:00,15.0
1972-02-03 08:00:00,0.440680556,12.91450583520934,1972-02-03 21:00:00,-0.108,0 days 13:00:00,13.0
1972-02-17 01:00:00,0.428158333,3.3673460828137074,1972-02-18 20:00:00,-0.027,1 days 19:00:00,43.0
1973-02-14 12:00:00,0.4765125,5.276665435949651,1973-02-15 03:00:00,0.137,0 days 15:00:00,15.0
1974-02-06 23:00:00,0.4017875,84.22779244276474,1974-02-07 05:00:00,0.076,0 days 06:00:00,6.0
1974-02-19 13:00:00,0.509431944,13.125088720299802,1974-02-21 04:00:00,0.017,1 days 15:00:00,39.0
1974-02-22 02:00:00,0.543944444,11.201714165982445,1974-02-22 05:00:00,-0.016,0 days 03:00:00,3.0
1975-02-23 21:00:00,0.437569444,3.618105256106094,1975-02-24 03:00:00,0.105,0 days 06:00:00,6.0
1976-02-01 10:00:00,0.427183333,10.778571366935028,1976-02-02 06:00:00,-0.028,0 days 20:00:00,20.0
1976-02-18 19:00:00,0.3829375,0.9285374500570596,1976-02-18 20:00:00,-0.088,0 days 01:00:00,1.0
1976-02-21 22:00:00,0.419719444,16.700596667292245,1976-02-22 23:00:00,0.073,1 days 01:00:00,25.0
1978-02-13 12:00:00,0.409404167,10.002770617594596,1978-02-13 22:00:00,-0.029,0 days 10:00:00,10.0
1979-02-07 05:00:00,0.526461111,31.867952459032445,1979-02-08 02:00:00,0.052,0 days 21:00:00,21.0
1980-02-10 03:00:00,0.396534722,10.93865545020206,1980-02-11 00:00:00,0.03,0 days 21:00:00,21.0
1981-02-01 23:00:00,0.576211111,16.134793948049985,1981-02-02 03:00:00,0.079,0 days 04:00:00,4.0
1981-02-10 18:00:00,0.606768056,87.63783314085312,1981-02-10 22:00:00,-0.046,0 days 04:00:00,4.0
1982-02-03 05:00:00,0.388033333,67.58346997237973,1982-02-04 01:00:00,0.084,0 days 20:00:00,20.0
1982-02-27 07:00:00,0.397429167,12.2437161793008,1982-02-27 20:00:00,-0.063,0 days 13:00:00,13.0
1983-02-02 04:00:00,0.615936111,77.96279534733983,1983-02-02 08:00:00,-0.078,0 days 04:00:00,4.0
1983-02-28 13:00:00,0.537980556,34.94280196265078,1983-03-01 07:00:00,-0.002,0 days 18:00:00,18.0
1984-02-27 11:00:00,0.683059722,23.95218793546276,1984-02-28 02:00:00,0.105,0 days 15:00:00,15.0
1985-02-11 15:00:00,0.600915278,8.477853472932853,1985-02-11 22:00:00,0.021,0 days 07:00:00,7.0
1986-02-06 12:00:00,0.470593056,22.29591834449678,1986-02-07 03:00:00,0.169,0 days 15:00:00,15.0
1987-02-02 12:00:00,0.388546992,20.1939703079957,1987-02-03 21:00:00,-0.065,1 days 09:00:00,33.0
1988-02-15 11:00:00,0.453751389,27.00486125241924,1988-02-17 04:00:00,0.151,1 days 17:00:00,41.0
1988-02-19 10:00:00,0.426508333,39.80330535911236,1988-02-20 08:00:00,-0.077,0 days 22:00:00,22.0
1989-02-21 11:00:00,0.479384722,15.31465503515182,1989-02-22 06:00:00,-0.057,0 days 19:00:00,19.0
1990-02-10 16:00:00,0.350075,29.555280971255463,1990-02-11 06:00:00,-0.007,0 days 14:00:00,14.0
1990-02-15 21:00:00,0.409143056,20.58214583956536,1990-02-16 21:00:00,0.031,1 days 00:00:00,24.0
1990-02-22 13:00:00,0.3845375,16.63113328316058,1990-02-23 03:00:00,0.118,0 days 14:00:00,14.0
1992-02-05 09:00:00,0.591091667,34.0663523943834,1992-02-06 06:00:00,-0.062,0 days 21:00:00,21.0
1992-02-25 17:00:00,0.409815278,32.41446370827463,1992-02-25 23:00:00,0.077,0 days 06:00:00,6.0
1993-02-11 15:00:00,0.435731944,22.26929116481656,1993-02-11 21:00:00,-0.01,0 days 06:00:00,6.0
1993-02-26 04:00:00,0.487515278,20.13834766556637,1993-02-26 20:00:00,0.017,0 days 16:00:00,16.0
1994-02-23 23:00:00,0.4286375,2.370482754000559,1994-02-24 03:00:00,0.075,0 days 04:00:00,4.0
1996-02-02 19:00:00,0.445273611,63.8247382727163,1996-02-03 04:00:00,0.043,0 days 09:00:00,9.0
1997-02-04 23:00:00,0.403873611,6.054982900662845,1997-02-05 03:00:00,0.101,0 days 04:00:00,4.0
1997-02-13 12:00:00,0.50355,28.50315348085263,1997-02-13 22:00:00,-0.009,0 days 10:00:00,10.0
1998-02-03 00:00:00,0.608126389,14.445321826157516,1998-02-03 23:00:00,-0.031,0 days 23:00:00,23.0
1998-02-16 02:00:00,0.661929167,19.00579097622871,1998-02-16 21:00:00,-0.078,0 days 19:00:00,19.0
2000-02-14 11:00:00,0.389497222,9.51778779977184,2000-02-15 01:00:00,0.086,0 days 14:00:00,14.0
2002-02-20 15:00:00,0.586811111,21.037210590493324,2002-02-22 00:00:00,0.085,1 days 09:00:00,33.0
2003-02-16 17:00:00,0.408644444,8.638995898285781,2003-02-17 05:00:00,0.116,0 days 12:00:00,12.0
2003-02-22 12:00:00,0.549361111,44.00364682045882,2003-02-22 21:00:00,0.049,0 days 09:00:00,9.0
2004-02-06 15:00:00,0.491830556,12.533839042464653,2004-02-07 05:00:00,0.087,0 days 14:00:00,14.0
2004-02-26 04:00:00,0.428143056,77.1050434592575,2004-02-26 21:00:00,0.046,0 days 17:00:00,17.0
2006-02-02 17:00:00,0.531280556,14.445321826157512,2006-02-02 21:00:00,-0.124,0 days 04:00:00,4.0
2006-02-11 10:00:00,0.477169444,9.768202826707263,2006-02-12 04:00:00,0.087,0 days 18:00:00,18.0
2007-02-01 14:00:00,0.461251389,10.381814138704298,2007-02-02 05:00:00,0.101,0 days 15:00:00,15.0
2007-02-13 20:00:00,0.359002778,2.9098969069366216,2007-02-14 02:00:00,0.139,0 days 06:00:00,6.0
2007-02-25 03:00:00,0.346940278,1.2414049930828714,2007-02-26 00:00:00,0.136,0 days 21:00:00,21.0
2008-02-01 04:00:00,0.462136111,26.388068650874004,2008-02-02 01:00:00,0.069,0 days 21:00:00,21.0
2009-02-11 11:00:00,0.447488889,10.925684405258531,2009-02-12 07:00:00,-0.085,0 days 20:00:00,20.0
2010-02-05 09:00:00,0.590143056,29.87879412663527,2010-02-05 22:00:00,0.039,0 days 13:00:00,13.0
2011-02-02 04:00:00,0.445745833,16.134793948049985,2011-02-03 05:00:00,0.036,1 days 01:00:00,25.0
2013-02-07 14:00:00,0.417165278,34.424759390342714,2013-02-08 03:00:00,0.114,0 days 13:00:00,13.0
2013-02-26 07:00:00,0.493616667,72.00148959880576,2013-02-27 07:00:00,-0.061,1 days 00:00:00,24.0
2015-02-01 21:00:00,0.431856944,7.207756312858399,2015-02-03 04:00:00,0.041,1 days 07:00:00,31.0
2015-02-17 08:00:00,0.4248875,3.2442279455123693,2015-02-18 04:00:00,0.083,0 days 20:00:00,20.0
2016-02-03 08:00:00,0.505069444,16.86871806591251,2016-02-04 01:00:00,0.039,0 days 17:00:00,17.0
2016-02-16 01:00:00,0.447345833,24.06120339078112,2016-02-17 00:00:00,0.059,0 days 23:00:00,23.0
2016-02-24 06:00:00,0.589397222,5.51950274899653,2016-02-25 07:00:00,-0.07,1 days 01:00:00,25.0
2020-02-06 16:00:00,0.4572875,27.852035879874016,2020-02-07 03:00:00,0.133,0 days 11:00:00,11.0
2022-02-02 17:00:00,0.553508333,19.08846098456527,2022-02-03 06:00:00,0.074,0 days 13:00:00,13.0
2022-02-18 08:00:00,0.405230556,3.8756247368233256,2022-02-19 07:00:00,-0.029,0 days 23:00:00,23.0
2024-02-12 08:00:00,0.473086111,10.088617969518104,2024-02-13 08:00:00,-0.087,1 days 00:00:00,24.0
