Time,POT_NTR,acc_14hr,Matched_Tide_Time,Matched_Tide_Value,Lag_Time,Lag_Time_Hours
1950-03-27 14:00:00,0.464772222,7.319509866774258,1950-03-27 23:00:00,0.182,0 days 09:00:00,9.0
1951-03-19 13:00:00,0.352782537,88.66646131853423,1951-03-20 02:00:00,0.118,0 days 13:00:00,13.0
1951-03-29 12:00:00,0.474859722,15.483179447277312,1951-03-29 22:00:00,0.228,0 days 10:00:00,10.0
1952-03-11 03:00:00,0.695859722,4.673449405443687,1952-03-11 05:00:00,-0.008,0 days 02:00:00,2.0
1954-03-20 04:00:00,0.341486111,6.360557367998282,1954-03-20 17:00:00,0.031,0 days 13:00:00,13.0
1955-03-22 01:00:00,0.427079167,16.61369846826461,1955-03-22 04:00:00,0.035,0 days 03:00:00,3.0
1957-03-04 14:00:00,0.388409722,3.182439591656385,1957-03-04 19:00:00,-0.022,0 days 05:00:00,5.0
1959-03-05 22:00:00,0.468347222,28.67561470338563,1959-03-06 02:00:00,0.082,0 days 04:00:00,4.0
1960-03-03 03:00:00,0.435444444,17.90902280010551,1960-03-03 21:00:00,0.021,0 days 18:00:00,18.0
1961-03-18 07:00:00,0.503609722,50.66175006736319,1961-03-19 19:00:00,0.032,1 days 12:00:00,36.0
1962-03-12 02:00:00,0.447673611,2.827224178080757,1962-03-12 22:00:00,0.092,0 days 20:00:00,20.0
1962-03-31 17:00:00,0.406494444,51.70887245281054,1962-04-02 03:00:00,0.127,1 days 10:00:00,34.0
1964-03-02 22:00:00,0.449072222,27.893147009223554,1964-03-03 20:00:00,0.008,0 days 22:00:00,22.0
1965-03-01 20:00:00,0.496558333,29.21583032085841,1965-03-02 04:00:00,0.08,0 days 08:00:00,8.0
1968-03-12 11:00:00,0.513565278,5.336831725424608,1968-03-13 04:00:00,0.115,0 days 17:00:00,17.0
1969-03-06 16:00:00,0.541729167,27.43310410593946,1969-03-06 19:00:00,-0.023,0 days 03:00:00,3.0
1969-03-24 02:00:00,0.631665278,23.638476655428647,1969-03-24 21:00:00,0.148,0 days 19:00:00,19.0
1970-03-04 16:00:00,0.392255556,31.699594363949817,1970-03-05 03:00:00,0.182,0 days 11:00:00,11.0
1970-03-11 21:00:00,0.400216667,4.015217094817826,1970-03-12 20:00:00,0.13,0 days 23:00:00,23.0
1972-03-02 16:00:00,0.488677778,23.77469577296236,1972-03-02 19:00:00,-0.03,0 days 03:00:00,3.0
1973-03-25 06:00:00,0.622505556,49.90883010668114,1973-03-25 21:00:00,0.138,0 days 15:00:00,15.0
1975-03-14 02:00:00,0.385018056,15.820886356543287,1975-03-14 18:00:00,-0.001,0 days 16:00:00,16.0
1977-03-04 13:00:00,0.482136674,20.000556925291296,1977-03-05 05:00:00,0.017,0 days 16:00:00,16.0
1977-03-28 14:00:00,0.4667625,21.240668553443754,1977-03-28 23:00:00,0.107,0 days 09:00:00,9.0
1978-03-14 11:00:00,0.392798611,10.283392139686413,1978-03-14 20:00:00,0.063,0 days 09:00:00,9.0
1979-03-04 00:00:00,0.550427778,81.49541385692609,1979-03-05 22:00:00,0.057,1 days 22:00:00,46.0
1980-03-01 20:00:00,0.406958333,23.537541695988445,1980-03-02 05:00:00,-0.001,0 days 09:00:00,9.0
1981-03-30 12:00:00,0.459505556,18.106744668888645,1981-03-31 01:00:00,0.142,0 days 13:00:00,13.0
1983-03-05 23:00:00,0.546225,39.11512420369653,1983-03-06 22:00:00,0.083,0 days 23:00:00,23.0
1983-03-16 10:00:00,0.512627778,11.112006507530614,1983-03-16 19:00:00,-0.037,0 days 09:00:00,9.0
