Time,POT_NTR,acc_14hr,Matched_Tide_Time,Matched_Tide_Value,Lag_Time,Lag_Time_Hours
1956-09-24 20:00:00,0.729720833,81.21289981374093,1956-09-25 08:00:00,0.348,0 days 12:00:00,12.0
1965-09-10 07:00:00,0.594873611,21.92155038466178,1965-09-10 17:00:00,0.255,0 days 10:00:00,10.0
1974-09-08 11:00:00,0.370718056,95.807399414829,1974-09-09 10:00:00,0.344,0 days 23:00:00,23.0
1979-09-13 03:00:00,1.215753049,141.57431107743426,1979-09-13 10:00:00,0.3,0 days 07:00:00,7.0
1985-09-02 15:00:00,0.475988889,38.04908196652051,1985-09-03 07:00:00,0.188,0 days 16:00:00,16.0
1998-09-28 02:00:00,0.832193056,129.58884237811867,1998-09-28 09:00:00,0.304,0 days 07:00:00,7.0
2002-09-26 15:00:00,0.7704625,105.25496027240006,2002-09-27 07:00:00,0.315,0 days 16:00:00,16.0
2004-09-16 05:00:00,1.626290859,68.88301205919781,2004-12-20 02:00:00,-0.016,94 days 21:00:00,2277.0
2008-09-01 14:00:00,0.723526389,33.97011840562048,2008-09-03 07:00:00,0.231,1 days 17:00:00,41.0
2008-09-12 00:00:00,0.641547222,0.5614567981005609,2008-09-12 15:00:00,0.309,0 days 15:00:00,15.0
2020-09-16 12:00:00,1.237531944,49.1768805037893,2020-09-16 16:00:00,0.309,0 days 04:00:00,4.0
