datetime,discharge_cfs,discharge_m3s
1993-11-10 06:00:00+00:00,12600,356.7922671
1993-11-10 07:00:00+00:00,12550,355.3764247
1993-11-10 08:00:00+00:00,12450,352.5447401
1993-11-10 09:00:00+00:00,12350,349.7130554
1993-11-10 10:00:00+00:00,12300,348.2972131
1993-11-10 11:00:00+00:00,12200,345.4655284
1993-11-10 12:00:00+00:00,12100,342.6338438
1993-11-10 13:00:00+00:00,12000,339.8021591
1993-11-10 14:00:00+00:00,11950,338.3863168
1993-11-10 15:00:00+00:00,11850,335.5546321
1993-11-10 16:00:00+00:00,11750,332.7229475
1993-11-10 17:00:00+00:00,11650,329.8912628
1993-11-10 18:00:00+00:00,11600,328.4754205
1993-11-10 19:00:00+00:00,11450,324.2278935
1993-11-10 20:00:00+00:00,11400,322.8120511
1993-11-10 21:00:00+00:00,11250,318.5645242
1993-11-10 22:00:00+00:00,11200,317.1486818
1993-11-10 23:00:00+00:00,11050,312.9011548
1993-11-11 00:00:00+00:00,11000,311.4853125
1993-11-11 01:00:00+00:00,10900,308.6536279
1993-11-11 02:00:00+00:00,10800,305.8219432
1993-11-11 03:00:00+00:00,10700,302.9902585
1993-11-11 04:00:00+00:00,10600,300.1585739
1993-11-11 05:00:00+00:00,10500,297.3268892
1993-11-11 06:00:00+00:00,10400,294.4952046
1993-11-11 07:00:00+00:00,10350,293.0793622
1993-11-11 08:00:00+00:00,10250,290.2476776
1993-11-11 09:00:00+00:00,10200,288.8318352
1993-11-11 10:00:00+00:00,10100,286.0001506
1993-11-11 11:00:00+00:00,9995,283.0268817
1993-11-11 12:00:00+00:00,9915,280.761534
1993-11-11 13:00:00+00:00,9830,278.354602
1993-11-11 14:00:00+00:00,9760,276.3724227
1993-11-11 15:00:00+00:00,9685,274.2486592
1993-11-11 16:00:00+00:00,9615,272.26648
1993-11-11 17:00:00+00:00,9530,269.859548
1993-11-11 18:00:00+00:00,9450,267.5942003
1993-11-11 19:00:00+00:00,9370,265.3288526
1993-11-11 20:00:00+00:00,9295,263.2050891
1993-11-11 21:00:00+00:00,9220,261.0813256
1993-11-11 22:00:00+00:00,9150,259.0991463
1993-11-11 23:00:00+00:00,9075,256.9753828
1993-11-12 00:00:00+00:00,9005,254.9932036
1993-11-12 01:00:00+00:00,8930,252.8694401
1993-11-12 02:00:00+00:00,8865,251.028845
1993-11-12 03:00:00+00:00,8800,249.18825
1993-11-12 04:00:00+00:00,8745,247.6308234
1993-11-12 05:00:00+00:00,8685,245.9318127
1993-11-12 06:00:00+00:00,7180,203.3149585
1993-11-12 07:00:00+00:00,6535,185.0505925
1993-11-12 08:00:00+00:00,7150,202.4654531
1993-11-12 09:00:00+00:00,6935,196.3773311
1993-11-12 10:00:00+00:00,6890,195.103073
1993-11-12 11:00:00+00:00,6960,197.0852523
1993-11-12 12:00:00+00:00,6520,184.6258398
1993-11-12 13:00:00+00:00,6530,184.9090082
1993-11-12 14:00:00+00:00,6455,182.7852448
1993-11-12 15:00:00+00:00,6460,182.926829
1993-11-12 16:00:00+00:00,6495,183.9179186
1993-11-12 17:00:00+00:00,6585,186.4664348
1993-11-12 18:00:00+00:00,6065,171.7416746
1993-11-12 19:00:00+00:00,6155,174.2901908
1993-11-12 20:00:00+00:00,6325,179.1040547
1993-11-12 21:00:00+00:00,6640,188.0238614
1993-11-12 22:00:00+00:00,6080,172.1664273
1993-11-12 23:00:00+00:00,6315,178.8208862
1993-11-13 00:00:00+00:00,5920,167.6357318
1993-11-13 01:00:00+00:00,5910,167.3525634
1993-11-13 02:00:00+00:00,6420,181.7941551
1993-11-13 03:00:00+00:00,6035,170.8921692
1993-11-13 04:00:00+00:00,5675,160.6981044
1993-11-13 05:00:00+00:00,5885,166.6446422
1993-11-13 06:00:00+00:00,5645,159.848599
1993-11-13 07:00:00+00:00,5775,163.5297891
1993-11-13 08:00:00+00:00,5530,156.5921617
1993-11-13 09:00:00+00:00,5880,166.503058
1993-11-13 10:00:00+00:00,5685,160.9812729
1993-11-13 11:00:00+00:00,5760,163.1050364
1993-11-13 12:00:00+00:00,5455,154.4683982
1993-11-13 13:00:00+00:00,5715,161.8307783
1993-11-13 14:00:00+00:00,5620,159.1406778
1993-11-13 15:00:00+00:00,5630,159.4238463
1993-11-13 16:00:00+00:00,5535,156.7337459
1993-11-13 17:00:00+00:00,5360,151.7782977
1993-11-13 18:00:00+00:00,5365,151.919882
1993-11-13 19:00:00+00:00,5425,153.6188928
1993-11-13 20:00:00+00:00,5330,150.9287923
1993-11-13 21:00:00+00:00,5215,147.672355
1993-11-13 22:00:00+00:00,5465,154.7515666
1993-11-13 23:00:00+00:00,5435,153.9020612
1993-11-14 00:00:00+00:00,5510,156.0258247
1993-11-14 01:00:00+00:00,5240,148.3802761
1993-11-14 02:00:00+00:00,5055,143.1416595
1993-11-14 03:00:00+00:00,4975,140.8763118
1993-11-14 04:00:00+00:00,5030,142.4337384
1993-11-14 05:00:00+00:00,4930,139.6020537
1993-11-14 06:00:00+00:00,5170,146.3980969
1993-11-14 07:00:00+00:00,4730,133.9386844
1993-11-14 08:00:00+00:00,4995,141.4426487
1993-11-14 09:00:00+00:00,4735,134.0802686
1993-11-14 10:00:00+00:00,4860,137.6198744
1993-11-14 11:00:00+00:00,5015,142.0089857
1993-11-14 12:00:00+00:00,5035,142.5753226
1993-11-14 13:00:00+00:00,4900,138.7525483
1993-11-14 14:00:00+00:00,4970,140.7347276
1993-11-14 15:00:00+00:00,5165,146.2565126
1993-11-14 16:00:00+00:00,4940,139.8852222
1993-11-14 17:00:00+00:00,4820,136.4872006
1993-11-14 18:00:00+00:00,4755,134.6466055
1993-11-14 19:00:00+00:00,5015,142.0089857
1993-11-14 20:00:00+00:00,4845,137.1951217
1993-11-14 21:00:00+00:00,4975,140.8763118
1993-11-14 22:00:00+00:00,4810,136.2040321
1993-11-14 23:00:00+00:00,4550,128.841652
1993-11-15 00:00:00+00:00,4750,134.5050213
1993-11-15 01:00:00+00:00,5095,144.2743334
1993-11-15 02:00:00+00:00,4460,126.2931358
1993-11-15 03:00:00+00:00,4590,129.9743259
1993-11-15 04:00:00+00:00,4790,135.6376952
1993-11-15 05:00:00+00:00,4440,125.7267989
1993-11-15 06:00:00+00:00,4675,132.3812578
1993-11-15 07:00:00+00:00,4475,126.7178885
1993-11-15 08:00:00+00:00,4535,128.4168993
1993-11-15 09:00:00+00:00,4460,126.2931358
1993-11-15 10:00:00+00:00,4620,130.8238313
1993-11-15 11:00:00+00:00,4545,128.7000678
1993-11-15 12:00:00+00:00,4440,125.7267989
1993-11-15 13:00:00+00:00,4585,129.8327416
1993-11-15 14:00:00+00:00,4575,129.5495732
1993-11-15 15:00:00+00:00,4570,129.4079889
1993-11-15 16:00:00+00:00,4630,131.1069997
1993-11-15 17:00:00+00:00,4615,130.682247
1993-11-15 18:00:00+00:00,4600,130.2574943
1993-11-15 19:00:00+00:00,4610,130.5406628
1993-11-15 20:00:00+00:00,4315,122.187193
1993-11-15 21:00:00+00:00,4700,133.089179
1993-11-15 22:00:00+00:00,4645,131.5317524
1993-11-15 23:00:00+00:00,4675,132.3812578
1993-11-16 00:00:00+00:00,4660,131.9565051
1993-11-16 01:00:00+00:00,4715,133.5139317
1993-11-16 02:00:00+00:00,4575,129.5495732
1993-11-16 03:00:00+00:00,4230,119.7802611
1993-11-16 04:00:00+00:00,4330,122.6119457
1993-11-16 05:00:00+00:00,4565,129.2664047
1993-11-16 06:00:00+00:00,4620,130.8238313
1993-11-16 07:00:00+00:00,4730,133.9386844
1993-11-16 08:00:00+00:00,4575,129.5495732
1993-11-16 09:00:00+00:00,4565,129.2664047
1993-11-16 10:00:00+00:00,4615,130.682247
1993-11-16 11:00:00+00:00,5015,142.0089857
1993-11-16 12:00:00+00:00,4445,125.8683831
1993-11-16 13:00:00+00:00,5280,149.51295
1993-11-16 14:00:00+00:00,5420,153.4773085
1993-11-16 15:00:00+00:00,5125,145.1238388
1993-11-16 16:00:00+00:00,5370,152.0614662
1993-11-16 17:00:00+00:00,6000,169.9010796
1993-11-16 18:00:00+00:00,6405,181.3694024
1993-11-16 19:00:00+00:00,6760,191.421883
1993-11-16 20:00:00+00:00,6915,195.8109942
1993-11-16 21:00:00+00:00,6445,182.5020763
1993-11-16 22:00:00+00:00,7455,211.1020913
1993-11-16 23:00:00+00:00,7055,199.7753527
1993-11-17 00:00:00+00:00,7375,208.8367436
1993-11-17 01:00:00+00:00,7465,211.3852598
1993-11-17 02:00:00+00:00,8055,228.0921993
1993-11-17 03:00:00+00:00,8360,236.7288375
1993-11-17 04:00:00+00:00,7900,223.7030881
1993-11-17 05:00:00+00:00,8525,241.4011172
1993-11-17 06:00:00+00:00,8630,244.3743861
1993-11-17 07:00:00+00:00,8955,253.5773612
1993-11-17 08:00:00+00:00,9275,262.6387521
1993-11-17 09:00:00+00:00,9605,271.9833115
1993-11-17 10:00:00+00:00,9900,280.3367813
1993-11-17 11:00:00+00:00,10250,290.2476776
1993-11-17 12:00:00+00:00,10600,300.1585739
1993-11-17 13:00:00+00:00,10950,310.0694702
1993-11-17 14:00:00+00:00,11300,319.9803665
1993-11-17 15:00:00+00:00,11600,328.4754205
1993-11-17 16:00:00+00:00,11950,338.3863168
1993-11-17 17:00:00+00:00,12300,348.2972131
1993-11-17 18:00:00+00:00,12600,356.7922671
1993-11-17 19:00:00+00:00,12900,365.287321
1993-11-17 20:00:00+00:00,13150,372.3665327
1993-11-17 21:00:00+00:00,13450,380.8615867
1993-11-17 22:00:00+00:00,13750,389.3566406
1993-11-17 23:00:00+00:00,14050,397.8516946
1993-11-18 00:00:00+00:00,14350,406.3467486
1993-11-18 01:00:00+00:00,14650,414.8418026
1993-11-18 02:00:00+00:00,14900,421.9210142
1993-11-18 03:00:00+00:00,15150,429.0002259
1993-11-18 04:00:00+00:00,15450,437.4952798
1993-11-18 05:00:00+00:00,15700,444.5744915
1993-11-18 06:00:00+00:00,15950,451.6537031
1993-11-18 07:00:00+00:00,16250,460.1487571
1993-11-18 08:00:00+00:00,16550,468.6438111
1993-11-18 09:00:00+00:00,16850,477.1388651
1993-11-18 10:00:00+00:00,17150,485.6339191
1993-11-18 11:00:00+00:00,17500,495.5448154
1993-11-18 12:00:00+00:00,17750,502.624027
1993-11-18 13:00:00+00:00,17950,508.2873963
1993-11-18 14:00:00+00:00,18250,516.7824503
1993-11-18 15:00:00+00:00,18500,523.861662
1993-11-18 16:00:00+00:00,18750,530.9408736
1993-11-18 17:00:00+00:00,19000,538.0200852
1993-11-18 18:00:00+00:00,19250,545.0992969
1993-11-18 19:00:00+00:00,19450,550.7626662
1993-11-18 20:00:00+00:00,19650,556.4260355
1993-11-18 21:00:00+00:00,19950,564.9210895
1993-11-18 22:00:00+00:00,20150,570.5844588
1993-11-18 23:00:00+00:00,20400,577.6636705
1993-11-19 00:00:00+00:00,20550,581.9111975
1993-11-19 01:00:00+00:00,20800,588.9904091
