dateTime,value,discharge_m3s
10/1/1952,6,0.16990108
10/2/1952,6,0.16990108
10/3/1952,6,0.16990108
10/4/1952,6,0.16990108
10/5/1952,6,0.16990108
10/6/1952,6,0.16990108
10/7/1952,6,0.16990108
10/8/1952,6,0.16990108
10/9/1952,6,0.16990108
10/10/1952,6,0.16990108
10/11/1952,6,0.16990108
10/12/1952,6,0.16990108
10/13/1952,6,0.16990108
10/14/1952,6,0.16990108
10/15/1952,6,0.16990108
10/16/1952,6,0.16990108
10/17/1952,6,0.16990108
10/18/1952,6,0.16990108
10/19/1952,6,0.16990108
10/20/1952,6,0.16990108
10/21/1952,6,0.16990108
10/22/1952,6,0.16990108
10/23/1952,6,0.16990108
10/24/1952,6,0.16990108
10/25/1952,6,0.16990108
10/26/1952,6,0.16990108
10/27/1952,6,0.16990108
10/28/1952,6,0.16990108
10/29/1952,6,0.16990108
10/30/1952,6,0.16990108
10/31/1952,6,0.16990108
11/1/1952,4,0.113267386
11/2/1952,4,0.113267386
11/3/1952,4,0.113267386
11/4/1952,4,0.113267386
11/5/1952,3.7,0.104772332
11/6/1952,4.7,0.133089179
11/7/1952,4.4,0.124594125
11/8/1952,4.2,0.118930756
11/9/1952,4.2,0.118930756
11/10/1952,10,0.283168466
11/11/1952,20,0.566336932
11/12/1952,40,1.132673864
11/13/1952,25,0.707921165
11/14/1952,15,0.424752699
11/15/1952,10,0.283168466
11/16/1952,9,0.254851619
11/17/1952,8,0.226534773
11/18/1952,8,0.226534773
11/19/1952,20,0.566336932
11/20/1952,48,1.359208636
11/21/1952,45,1.274258097
11/22/1952,31,0.877822244
11/23/1952,20,0.566336932
11/24/1952,14,0.396435852
11/25/1952,13,0.368119006
11/26/1952,12,0.339802159
11/27/1952,11,0.311485313
11/28/1952,10,0.283168466
11/29/1952,22,0.622970625
11/30/1952,135,3.82277429
12/1/1952,73,2.067129801
12/2/1952,64,1.812278182
12/3/1952,69,1.953862415
12/4/1952,153,4.332477529
12/5/1952,394,11.15683756
12/6/1952,225,6.371290483
12/7/1952,125,3.539605824
12/8/1952,75,2.123763494
12/9/1952,112,3.171486818
12/10/1952,240,6.796043182
12/11/1952,211,5.974854631
12/12/1952,114,3.228120511
12/13/1952,75,2.123763494
12/14/1952,56,1.585743409
12/15/1952,45,1.274258097
12/16/1952,39,1.104357017
12/17/1952,32,0.906139091
12/18/1952,30,0.849505398
12/19/1952,38,1.07604017
12/20/1952,328,9.287925682
12/21/1952,306,8.664955057
12/22/1952,170,4.813863921
12/23/1952,120,3.398021591
12/24/1952,114,3.228120511
12/25/1952,496,14.04515591
12/26/1952,608,17.21664273
12/27/1952,306,8.664955057
12/28/1952,187,5.295250313
12/29/1952,144,4.077625909
12/30/1952,1130,31.99803665
12/31/1952,1890,53.51884006
1/1/1953,1010,28.60001506
1/2/1953,482,13.64872006
1/3/1953,350,9.910896307
1/4/1953,236,6.682775796
1/5/1953,178,5.040398693
1/6/1953,148,4.190893296
1/7/1953,127,3.596239517
1/8/1953,127,3.596239517
1/9/1953,142,4.020992216
1/10/1953,181,5.125349233
1/11/1953,133,3.766140597
1/12/1953,100,2.831684659
1/13/1953,79,2.237030881
1/14/1953,69,1.953862415
1/15/1953,60,1.699010796
1/16/1953,58,1.642377102
1/17/1953,106,3.001585739
1/18/1953,317,8.97644037
1/19/1953,262,7.419013807
1/20/1953,152,4.304160682
1/21/1953,110,3.114853125
1/22/1953,87,2.463565654
1/23/1953,635,17.98119759
1/24/1953,572,16.19723625
1/25/1953,277,7.843766506
1/26/1953,181,5.125349233
1/27/1953,144,4.077625909
1/28/1953,131,3.709506904
1/29/1953,137,3.879407983
1/30/1953,112,3.171486818
1/31/1953,93,2.633466733
2/1/1953,89,2.520199347
2/2/1953,163,4.615645994
2/3/1953,339,9.599410995
2/4/1953,225,6.371290483
2/5/1953,139,3.936041676
2/6/1953,142,4.020992216
2/7/1953,306,8.664955057
2/8/1953,258,7.305746421
2/9/1953,152,4.304160682
2/10/1953,110,3.114853125
2/11/1953,95,2.690100426
2/12/1953,110,3.114853125
2/13/1953,139,3.936041676
2/14/1953,369,10.44891639
2/15/1953,1160,32.84754205
2/16/1953,670,18.97228722
2/17/1953,339,9.599410995
2/18/1953,231,6.541191563
2/19/1953,220,6.22970625
2/20/1953,2860,80.98618125
2/21/1953,1710,48.42180767
2/22/1953,1680,47.57230227
2/23/1953,1010,28.60001506
2/24/1953,749,21.2093181
2/25/1953,776,21.97387296
2/26/1953,696,19.70852523
2/27/1953,526,14.89466131
2/28/1953,361,10.22238162
3/1/1953,284,8.041984432
3/2/1953,258,7.305746421
3/3/1953,222,6.286339943
3/4/1953,203,5.748319858
3/5/1953,165,4.672279688
3/6/1953,127,3.596239517
3/7/1953,108,3.058219432
3/8/1953,97,2.746734119
3/9/1953,87,2.463565654
3/10/1953,75,2.123763494
3/11/1953,81,2.293664574
3/12/1953,106,3.001585739
3/13/1953,118,3.341387898
3/14/1953,116,3.284754205
3/15/1953,991,28.06199497
3/16/1953,696,19.70852523
3/17/1953,339,9.599410995
3/18/1953,207,5.861587245
3/19/1953,167,4.728913381
3/20/1953,150,4.247526989
3/21/1953,137,3.879407983
3/22/1953,127,3.596239517
3/23/1953,927,26.24971679
3/24/1953,766,21.69070449
3/25/1953,361,10.22238162
3/26/1953,207,5.861587245
3/27/1953,150,4.247526989
3/28/1953,133,3.766140597
3/29/1953,112,3.171486818
3/30/1953,85,2.40693196
3/31/1953,71,2.010496108
4/1/1953,69,1.953862415
4/2/1953,106,3.001585739
4/3/1953,142,4.020992216
4/4/1953,112,3.171486818
4/5/1953,69,1.953862415
4/6/1953,106,3.001585739
4/7/1953,194,5.493468239
4/8/1953,156,4.417428068
4/9/1953,87,2.463565654
4/10/1953,60,1.699010796
4/11/1953,51,1.444159176
4/12/1953,131,3.709506904
4/13/1953,137,3.879407983
4/14/1953,93,2.633466733
4/15/1953,62,1.755644489
4/16/1953,112,3.171486818
4/17/1953,81,2.293664574
4/18/1953,51,1.444159176
4/19/1953,44,1.24594125
4/20/1953,50,1.41584233
