Year,Threshold
1950,0.357520179
1951,0.334545833
1952,0.427094444
1953,0.424015278
1954,0.341486111
1955,0.349556944
1956,0.346513889
1957,0.368452778
1958,0.476911111
1959,0.383469444
1960,0.422443056
1961,0.455044444
1962,0.394188889
1963,0.385854167
1964,0.441375
1965,0.4021375
1966,0.414784722
1967,0.378634722
1968,0.371851389
1969,0.541729167
1970,0.392255556
1971,0.402870833
1972,0.428158333
1973,0.454802778
1974,0.370718056
1975,0.385018056
1976,0.372890805
1977,0.465834722
1978,0.392798611
1979,0.472848611
1980,0.3772875
1981,0.383963889
1982,0.385184722
1983,0.512627778
1984,0.369155556
1985,0.447597222
1986,0.359766667
1987,0.388546992
1988,0.385716667
1989,0.324193056
1990,0.344183333
1991,0.400577778
1992,0.391881944
1993,0.435731944
1994,0.4174625
1995,0.469909722
1996,0.445273611
1997,0.403873611
1998,0.524001389
1999,0.381834722
2000,0.389497222
2001,0.419491667
2002,0.545401389
2003,0.398193056
2004,0.428143056
2005,0.447284722
2006,0.444227778
2007,0.346940278
2008,0.462136111
2009,0.447488889
2010,0.447418056
2011,0.423234722
2012,0.382969444
2013,0.413693056
2014,0.398526389
2015,0.406026389
2016,0.447345833
2017,0.351841667
2018,0.421743056
2019,0.348970833
2020,0.4572875
2021,0.386248611
2022,0.405230556
2023,0.387238889
2024,0.471419444
