Year,Threshold
1952,6.796043182
1953,45.30695455
1954,9.797628921
1955,35.39605824
1956,28.88318352
1957,29.73268892
1958,43.32477529
1959,41.90893296
1960,30.01585739
1961,84.66737131
1962,20.16159477
1963,16.11228571
1964,29.73268892
1965,32.84754205
1966,69.94261108
1967,33.69704744
1968,10.42059955
1969,36.5287321
1970,30.86536279
1971,26.44793472
1972,42.47526989
1973,45.02378608
1974,43.89111222
1975,45.59012301
1976,32.56437358
1977,41.05942756
1978,34.26338438
1979,62.58023097
1980,60.03171478
1981,8.551687671
1982,67.96043182
1983,62.2970625
1984,25.93823148
1985,43.60794375
1986,28.88318352
1987,43.89111222
1988,51.25349233
1989,39.0772483
1990,42.75135914
1991,66.82775796
1992,48.70497614
1993,52.3861662
1994,37.94457443
1995,61.73072557
1996,23.50298267
1997,40.49309063
1998,56.63369318
1999,14.86634446
2000,10.67545117
2001,30.29902585
2002,35.96239517
2003,37.3782375
2004,43.32477529
2005,62.58023097
2006,35.11288977
2007,16.70693949
2008,26.50456841
2009,48.42180767
2010,27.86377705
2011,14.83802761
2012,33.69704744
2013,29.44952046
2014,49.83765
2015,54.93468239
2016,42.19210142
2017,55.21785085
2018,23.61625006
2019,26.47625156
2020,24.15427014
2021,102.7901531
2022,33.41387898
2023,21.52080341
2024,41.05942756
2025,18.03783128
