Year,Threshold
1950,67.3
1951,60.2
1952,67.40715796
1953,57.2
1954,52.8
1955,68.8
1956,52.3
1957,66.5
1958,54.4
1959,56.9
1960,49.8
1961,62.2
1962,43.7
1963,46.5
1964,50.08611105
1965,43.7
1966,39.9
1967,67.8
1968,35.3
1969,50.67904044
1970,50.8
1971,48.5
1972,38.1
1973,53.6
1974,42.7
1975,72.9
1976,51.8
1977,48.8
1978,74.2
1979,60.56388106
1980,69.3
1981,46.7
1982,71.1
1983,78.2
1984,47.5
1985,59.7
1986,44.2
1987,49.5
1988,68.6
1989,67.3
1990,56.4
1991,60.01716702
1992,66.0
1993,53.8
1994,57.2
1995,69.3
1996,67.6
1997,66.0
1998,69.1
1999,48.5
2000,45.2
2001,55.9
2002,56.9
2003,65.3
2004,59.9
2005,82.6
2006,48.8
2007,57.9
2008,59.2
2009,48.5
2010,52.1
2011,48.3
2012,66.3
2013,66.0
2014,67.26997735
2015,92.2
2016,59.7
2017,82.3
2018,48.0
2019,49.8
2020,45.2
2021,81.0
2022,50.3
2023,57.2
2024,52.3
2025,33.3
